"name","price","description","short description"
"Builds muscle, helps to raise growth hormone.",65.00,"",""
"5-MTHF 5mg - Thorne",60.50,"The most bioavailable, active form of folate; provides an excellent source of folate for pregnant women, supports optimal cardiovascular and nerve function.",""
"Ascorbic Acid One Gram - Thorne",37.40,"Supports immune system; promotes connective tissue formation",""
"Als Formula 240ct - Thorne  ",59.10,"A comprehensive vitamin-mineral supplement for men over 40",""
"Amazing Grass Raw Reserve Green Food",39.00,"",""
"AllerGzyme - DFH",25.00,"Assists in digestion of difficult-to-breakdown proteins such as gluten, gliadin and casein from whey and dairy, as well as soy and rice",""
"Allicillin Caps - DFH",28.00,"Strong garlic supplement provides protection against many types of pathogens.",""
"Allicillin Liquid - DFH",35.00,"Strong garlic supplement provides protection against many types of pathogens.",""
"Appestacin 60ct - Thorne",49.90,"Helps control appetite.  Enhances energy and mood.  Increases thermogenesis for fat burning.  Contains caffeine.",""
"AR-Encap - Thorne",48.20,"Provides comprehensive joint support.",""
"ArthroSoothe 120ct  - DFH",38.00,"ArthroSoothe™ offers ideal nutritional support for joints, providing them with the nutrition they need to rid fluid that results in swelling, repair, stay lubricated, move freely, and function at their best.",""
"Bacillus Coagulans 60ct - Thorne",20.50,"Supports digestive and immune health.  Enhances balance of good bacteria in the gut.",""
"Bacopa - Thorne",10.60,"A neuroprotective and has been shown to support memory and learning.",""
"Bio B12 - Thorne",16.25,"Essential for red blood cell formation, energy, tissue repair and DNA synthesis.",""
"Basic B Complex 60ct - Thorne",18.40,"Promotes cellular energy production, to healthy red-blood-cell formation, to healthy neurological function.",""
"B Complex #12 60ct  - Thorne",13.25,"Supports cardiovascular health. Promotes red blood cell formation, cellular health, boosts metabolism and mental accuity. ",""
"B Complex #5 - Thorne",12.00,"Powerful B Vitamin combination supports cellular energy production, to healthy red-blood-cell formation, to healthy neurological function.",""
"B-Complex #6 60ct - Thorne",16.75,"B-complex support with extra pyridoxine and pyridoxal 5'-phosphate.",""
"Basic Detox Nutrients - Thorne",85.70,"Comprehensive multiple vitamin-mineral with additional nutrients to aid in detoxification",""
"BerberCap 200mg 60ct - Thorne",23.10,"Promotes healthy respiratory mucus membranes; helps maintain a healthy immune response and the body's normal intestinal flora.",""
"BioGest 180ct - Thorne",39.80,"Enzymes and betaine HCL to use for improved digestion and overall health.",""
"Betaine HCl + Pepsin 225ct - Thorne",27.40,"Digestive support especially for protein digestion and immune health.",""
"Biotin-8 60ct - Thorne",23.10,"Helps maintain already normal blood sugar levels, promotes health nerve function, skin and hair.",""
"Bio-PMT - Thorne",17.85,"Supports hormone balance by providing essential nutrients involved in the cycling of female hormones & metabolite.",""
"Biomins - Thorne",16.00,"",""
"Basic Nutrients 180ct - Thorne",32.25,"",""
"DoMatcha Bowl",34.50,"",""
"B.P.P. - Thorne",34.20,"Supports healthy digestion.  Promotes digestion of proteins, carbohydrates, and fats.",""
"Brain Power Sours - DFH",6.00,"",""
"Brain Vitale - DFH",53.00,"",""
"Buffered Vitamin C Powder 8oz - Thorne",20.55,"Optimizes immune function and antioxidant support.",""
"C+BioFizz - DFH",29.00,"Natural antihistamine, liver and adrenal support, essential for skin and immune health.",""
"Calcium Malate Chelate - DFH",24.00,"Combines two unique forms of calcium for exceptional absorption and utilization.",""
"Cal/Mag 1:1 180ct - DFH",25.00,"Provides calcium and magnesium in equal amounts, addressing magnesium depletion due to stress (physical or emotional), alcohol or coffee consumption, exercise, excessive sweating, and certain medications such as birth control pills, various antibiotics.",""
"Captomer-250 - Thorne",118.90,"",""
"L-Carnitine 60 count, 330mg - Thorne",36.15,"Helps convert fat to energy. Essential for skeletal and cardiac muscle function.",""
"CarniClear Liquid - DFH",66.00,"",""
"Carnitine Synergy - DFH",58.00,"Helps promote heart health, maintenance of healthy cholesterol levels, and sports endurance and recovery.",""
"CatecholaCalm - DFH",42.00,"Helpful to calm the nervous system.",""
"Cellulose Fiber - Vital Nutrients",22.00,"",""
"Cease Fire - Complementary Prescriptions",19.95,"",""
"Cholestar (Apex Energetics)",36.50,"",""
"Cholesterol Response - Innate",48.95,"",""
"Hypoallergenic Protein for Liver Detox & Bile Flow - Apex",56.00,"",""
"Cod Liver Oil Liquid - NN",39.95,"",""
"Choleast 120ct - Thorne",36.05,"To help lower cholesterol.",""
"Choleast 900 120ct - Thorne",46.00,"Helps to lower cholesterol.",""
"DFH Complete Multi",46.00,"A full-spectrum multivitamin with maximum absorption and bioavailability.",""
"Complete Mineral Complex - DFH",24.00,"Ideal of use when mineral replenishment is desired.",""
"Calcium-Magnesium Citrate 90ct - Thorne",11.75,"Minerals for bone, muscle, heart, brain and respiratory health.",""
"High in Vit A&D - Nordic Naturals",19.95,"",""
"Cold + Flu Season Kit",107.00,"",""
"Complete Multi - DFH",46.00,"Full spectrum multi, also includes nutrients such as alpha lipoic acid, TMG, fruit bioflavanoids, choline, and inositol. ",""
"CoQMelt - Douglas Labs",32.00,"",""
"Cortrex 60ct - Thorne",16.15,"Supports healthy adrenal gland function. Helps maintain physical and mental stamina.",""
"CystePlus - Thorne",23.70,"Supports liver detoxification and immune function.",""
"Cardio Power Truffles - DFH",49.00,"",""
"Carnitine Tartrate Powder - DFH",54.00,"Helps promote heart health, maintenance of healthy cholesterol levels, and sports endurance and recovery.",""
"Crucera-SGS - Thorne",51.75,"Targeted chemoprotection, support for healthy vision & eyes, healthy cardiovascular & gastrointestinal system and for healthy joints.",""
"Chromium Synergy - DFH",15.00,"Supports optimal insulin function and blood sugar control.",""
"Contegra - Sanesco",64.00,"",""
"Cortine 60ct - Thorne",11.55,"Whole adrenal and adrenal cortex in one capsule for healthy adrenal function.",""
"Clearvite - Apex Energetics",56.00,"",""
"D-5,000 60ct - Thorne",11.90,"Supports cardiovascular, immune, and bone health.",""
"Diosmin-HMC 60ct- Thorne",19.65,"Supports blood vessel health, strengthens veins, enhances circulation.",""
"D3-50 Bio Tech 50,000 IU",30.00,"Supports bone, cardiovascular, neuromuscular, and immune health.",""
"Detox Antiox - DFH",24.00,"Supports immune system. Supports detoxification of chemicals and heavy metals.",""
"Deproloft HF 120ct - Thorne",39.80,"A synergistic blend of botanicals and nutrient cofactors to enhance mood.",""
"To support Phase II Detox - DFH",90.00,"",""
"Detox Nutrients Packet 30pk - Thorne",70.30,"Promotes the metabolism of toxins.",""
"Dairygest - DFH",24.00,"",""
"DHEA Sublingual Drops - AE",17.50,"",""
"DHEA 5mg, 180 caps - DFH",23.00,"Supports healthy aging, enhances physical and psychological wellbeing, optimizes mood and memory in elderly.",""
"DHEA-5 90ct - Thorne",10.65,"A key adrenal hormone, adrenal precursor for steroid hormones. Supports healthy aging, enhances physical and psychological wellbeing, supplementation optimizes mood and memory in elderly.",""
"DHEA-V Vaginal Tablets NOT AVAILABLE ",39.95,"To support vaginal health.",""
"DHEA 25mg, 90ct. - Thorne",18.55,"Supports healthy aging, enhances physical and psychological wellbeing, optimizes mood and memory in elderly and an adrenal precursor for steroid hormones",""
"DHEA-5 180ct - DFH",23.00,"A key adrenal hormone, adrenal precursor for steroid hormones. Supports healthy aging, enhances physical and psychological wellbeing, supplementation optimizes mood and memory in elderly.",""
"DIM-Avail, 60 caps - DFH",27.00,"Increases DIM absorption for a healthier gut.",""
"DO Matcha Organic Green Tea",27.00,"",""
"Daily Basic Nutrients Packet 60pk - Thorne",102.45,"Multivitamin/mineral formula, Healthy fats and anti-inflammatory/anti-aging formula.",""
"DoMatcha 1st Harvest Organic",31.00,"",""
"DoMatch 2nd Harvest - Organic",45.74,"",""
"Dr. Ohirras Probiotic +",62.95,"",""
"DopaBoost - DFH",24.00,"",""
"Detox Support Packets - DFH",90.00,"Supports detoxification efforts.",""
"Dipan-9 - Thorne",67.70,"Pancreatic enzymes for digestion support.",""
"DPA - Doctors Best",31.36,"Promotes immune health, reproductive health and cell growth.",""
"DopaBoost - DFH",28.00,"",""
"Amino Complex - Thorne",65.00,"Promotes anabolism, lean muscle mass and muscle strength, brain health and much more",""
"Double Zinc Picolinate 60ct - Thorne",13.80,"Promotes essential growth, immune function and reproductive health.",""
"Everyday Calcium w/Enzymes - Rainbow Light",19.95,"",""
"Emulsi-D3 - DFH",22.00,"Concentrated, highly bioavailable liquid vitamin D formulation.",""
"EPA-DHA 720 - Metagenics",22.65,"",""
"Special Probiotic Formula - Essential Formulas",39.55,"",""
"Dr. Ohirras Probiotics 12 Plus - 30 Caps",39.55,"",""
"Dr. Ohhiras Probiotics - 60 caps",69.25,"",""
"Dr. Ohirras Professional Probiotics",69.25,"",""
"Dr. Ohirras Professional Formula",39.55,"",""
"EssentiaGreens",52.00,"Phytonutrient-rich; does not impact blood sugar levels.",""
"Endura - Metagenics",24.29,"",""
"Endotrim - DFH",42.00,"Supports safe fat metabolism and maintenance of lean body mass.",""
"Endorphigen - Infinity Health",27.99,"",""
"Endura Optimizer - Metagenics",30.25,"",""
"EPA-DHA 6:1 Enteric Coated - Metagenics",39.09,"",""
"EPA-DHA Extra Strength 120 cap - Metagenics",37.25,"",""
"EPA-DHA High Concentrate Liquid",42.95,"",""
"EpiCor - Complementary Prescriptions",34.95,"",""
"Evening Primrose Oil - MM",23.80,"",""
"Electrolyte Synergy 210g - DFH",36.00,"Complete, balanced electrolyte which promotes optimum hydration, especially after excessive sweating. No longer available in packets.",""
"EstroClear - Natura",57.00,"",""
"Estrogen Metabolism - APEX",33.90,"",""
"Calcium/Magnesium - Rainbow Light",19.95,"",""
"Extra Nutrients 180ct - Thorne",55.05,"Comprehensive vitamin & mineral formula.",""
"Fibromin - Apex Energetics",18.50,"",""
"Ferrochel - DFH",15.00,"Potent iron supplement that is extremely well tolerated by the gastrointestinal system and has high absorption.",""
"FemGuard - DFH",49.00,"",""
"Fibromin - Apex Energetics",18.50,"",""
"FloraMyces - DFH",40.00,"Supports the prevention of antibiotic-associated diarrheas, and as a general supplement for optimum gastrointestinal health.",""
"FloraMend Prime Probiotic 30ct - Thorne",39.00,"Supports digestive and immune health.  Enhances balance of good bacteria in the gut.",""
"FemGuard + Balance - DFH",52.00,"Promotes the proper elimination of excess estrogens; includes antioxidants.",""
"Flax Naturally Milled Flax Seed",14.90,"",""
"Multi Vitamin - Rainbow Light",39.95,"",""
"Foresterol - DFH",29.00," LDL cholesterol-lowering properties.",""
"Prebiotic Sugar Substitute - Pharmax",31.00,"",""
"Ferrasorb 60ct - Thorne",18.90,"Essential for energy. Folate, B12, and iron supplement.",""
"Gastriplex - Thorne",46.30,"",""
"Gift Certificate",75.00,"",""
"Gastriplex Digestive Formula for Animals - Thorne",46.30,"",""
"GI-Encap 180 caps - Thorne",27.98,"",""
"GI-Encap 60ct - Thorne",14.99,"To soothe digestive tract - help with indigestion.",""
"GI Microb-X - DFH",44.00,"Provides a broad spectrum of activity against common pathogens present in GI tract.",""
"GLA - Designs for Health",21.00,"Essential for smooth and healthy skin and female hormonal balance. ",""
"L-Glutamine Capsules - Thorne",16.50,"Immune system and digestive tract support. Helps reduce sugar cravings. ",""
"Glycine 250ct - Thorne",18.40,"Promotes relaxation for healthy stress management and is essential for detoxification.",""
"Blood Sugar Mgmt Multi Vitamin - AE",37.30,"",""
"GastroMend - DFH",44.00,"Supports the management of ulcers and gastritis.",""
"Brain Nutrient - DFH",36.00,"",""
"Xylitol Gum - Natures Sunshine",15.90,"",""
"Herbalance Cream - Complementary Prescriptions",21.95,"",""
"HBC Active Complex",51.00,"Provides a synergystic proprietary blend of unique ingredients shown to dramatically support a patient’s ability to achieve healthy body composition. ",""
"hCG",49.95,"",""
"HCL Prozyme - Apex Energetics",15.90,"",""
"HistaEze",35.00,"Natural support to help balance the immune response during allergy season.",""
"Hepagen-C - Thorne",23.50,"",""
"Hemevite (Iron - Apex Energetics)",18.50,"",""
"H-PLR (Apex Energetics)",29.90,"",""
"HTN Complex - DFH",36.00,"Supports the maintenance of normal blood pressure and vascular tone.",""
"Indole 3 Carbinol - Thorne",25.80,"",""
"Ion Charge - Source Naturals",30.98,"",""
"ImmunoBerry Liquid",28.00,"Supports healthy immune system function during cold and flu season.",""
"IM-Encap 60ct - Thorne",14.90,"",""
"Insinase - Metagenics",59.95,"",""
"Indole-3 Carbinol - Thorne",26.90,"",""
"Inflammatone 240 - DFH",86.00,"Provides natural anti-inflammatory effects and protect against oxidative stress.",""
"Inositol - DFH",38.00,"Inositol supports overall relaxation and helps maintain the proper metabolism of serotonin. It is used for nutritional support of brain wellness and female hormonal health through its role in healthy liver function. ",""
"Insomnitol - DFH",38.00,"Supports overall relaxation and helps maintain the proper metabolism of serotonin. Helpful for restful sleep.",""
"Ioderol 12.5mg - Optimox",22.70,"",""
"Ioderol 50mg - Optimox",35.72,"",""
"Immunitone Plus - DFH",42.00,"Supports healthy immune system function during cold and flu season.",""
"Iron Picolinate 60ct - Thorne",10.85,"",""
"Iodine Synergy - DFH",19.00,"Iodine is essential for metabolic functions and cellular health. It is absolutely vital for the health of the thyroid gland.",""
"Isocort - Bezwecken",38.00,"Adrenal support for energy, hormone balance and to reduce inflammation",""
"SierraSil Joint Formula",39.95,"",""
"SierraSil Joint Formula Powder",42.95,"",""
"Kavinace - NeuroScience",35.00,"Provides GABA support to help manage stress and anxiousness and promote healthy sleep.",""
"KreAlkalyn Pro - DFH",26.00,"Less of the side effects like nausea, diarrhea and cramps and more creatine delivered to the muscle and other tissues.",""
"Amino Acid - DFH",34.00,"A general supplement for individuals whose diets are insufficient in quality protein and for those who have confirmed amino acid deficiencies from metabolic testing.",""
"L-Tryptophan -Thorne",37.80,"",""
"Liver Cleanse - Thorne",13.25,"Provides a synergistic blend of herbs to enhance detoxification and bile flow",""
"L-Carnitine 60ct. - Thorne",33.80,"Essential for skeletal and cardiac muscle function. Helps convert fat to energy and supports healthy levels of cholesterol and triglycerides.",""
"Lemon Drop Smoothie - DFH",29.00,"",""
"L-Glutamine Capsules 120ct - DFH",22.00,"Immune system and digestive tract support. Helps reduce sugar cravings. ",""
"L-Glutamine Powder - Thorne",53.00,"Immune system and digestive tract support.  Helps reduce sugar cravings.",""
"Libido Stim-M - DFH",44.00,"Helps maintain normal testosterone levels which are important for supporting sexual desire and fertility.",""
"Lipotrienols - DFH",44.00,"",""
"Lipotrepein - Thorne",12.20,"Liver/gallbladder support for improved digestion and toxin metabolism.",""
"Lentra - Sanesco",39.60,"",""
"Licorice Plus - Metagenics",21.59,"",""
"Libido Stim-F - DFH",36.00,"Safely promotes female sexual desire and pleasure.",""
"Liquid Superfruit Antioxidant - CP",24.95,"",""
"Lipotrienols RYR - DFH",44.00,"",""
"L-Tryptophan - Paste",33.00,"",""
"L-Tryptophan - Thorne",11.20,"",""
"Lavender Organic Essential Oil - Aura Cacia",12.95,"",""
"Liver & Gall Bladder Support - DFH",20.00,"Support for liver and gall bladder, promotes proper bile flow.",""
"Lavendria Spritz - Thorne",13.80,"",""
"Magnesium Ascorbate - DFH",14.00,"",""
"Magnesium Malate Chelate - DFH",25.00,"Excellent absorption and health-promoting properties.. Helps support energy production.",""
"Magnesium Ascorbate - DFH",14.00,"",""
"Magnesium Citramate - Thorne",13.90,"Essential for heart, muscle and brain health",""
"MediBulk - Thorne",16.25,"Helps maintain already normal cholesterol and blood sugar levels, a good source of soluble and insoluble fiber.",""
"Melatonin Complex - Source Naturals",11.25,"",""
"Mediclear-SGS - Chocolate - Thorne",79.90,"Enhanced liver support for phase II detoxification.  Antioxidant support.",""
"MCT Colada 16 oz. - DFH",44.00,"Provides support for cognitive health, athletes (fuel for intense exercise), and metabolic function.",""
"MagneDerm - DFH",24.00,"",""
"MediClear - Thorne",58.85,"For use in liver and colon detoxification. Provides a non-allergenic source of protein.",""
"MediClear Plus - Thorne",61.95,"Rice protein, pea protein, and accessory nutrients to support liver detoxification.",""
"Methyl-Guard - Thorne",41.00,"Helps maintain good cardiovascular health and maintains good cognitive & neurologial hralth. Supports bone and female reproductive health.",""
"Melaton-3 - Thorne",12.05,"Melatonin, the primary hormone of the pineal gland, acts as a powerful \"chronobiotic,\" helping to maintain normal circadian rhythms. Also a potent antioxidant.",""
"Melaton-5 - Thorne",16.40,"",""
"Meriva 500 120ct - Thorne",49.15,"Supports liver, digestive and heart health and helps to normalize inflammation.",""
"Meriva SR - Thorne",34.10,"Supports liver, digestive and heart health and helps to normalize inflammation.",""
"B-12 Sublingual Drops - Source Naturals",31.50,"Powerful B Vitamin combination supports cellular energy production, to healthy red-blood-cell formation, to healthy neurological function.",""
"MetaFem - Thorne",48.80,"Comprehensive vitamin/mineral formula for women over 40.",""
"Magnesium Glycinate - Metagenics",22.65,"",""
"Magnesium/Potassium Blend for high stress - AE",17.70,"",""
"Magnesium Glycinate Chelate, 120ct - DFH",24.00,"Magnesium Glycinate Chelate is one of the best absorbed forms of magnesium, without negative gastrointestinal symptoms.",""
"Magnesium Citrate - Thorne",11.40,"Helps promote bowel relaxation when fiber alone is not enough. ",""
"MethlyGuard Plus - Thorne",45.40,"Helps maintain good cardiovascular health, good cognitive and neurological health and supports bone and female reproductive health",""
"Probiotics - Pharmax",37.80,"",""
"Xylitol Mints - Natures Sunshine",16.00,"",""
"Mind Link",35.10,"",""
"MethylMax - Sanesco",45.00,"",""
"Mighty Maca Greens- Reformulated!",59.95,"Energy and hormone balance - adrenal function. ",""
"Mitochondrial NGR - DFH",52.00,"Promotes overall cellular and tissue vitality and health.",""
"MediPro - Thorne",41.70,"",""
"Medipro Bariatric - Thorne",99.00,"",""
"Prenatal Wellness Packets - Metagenics",60.00,"",""
"Metabolic Synergy - 180 DFH",64.00,"Specifically formulated for endocrine and blood sugar concerns. Supportive for neuropathy, blood pressure, blood sugar, water retention and fat metabolism.",""
"MSM - Ultra Lemon (DFH)",38.00,"Modulates histamine release and inflammation, and has the ability to support collagen production, which is the primary constituent of cartilage, skin and connective tissue. ",""
"Melatonin Sublingual - Douglas Labs",8.50,"",""
"Meta-Balance - Thorne",24.90,"Helps balance the normal ebbing of hormones. Enhances mood.",""
"Manuka Therapy Cream - Thorne",13.50,"",""
"Metaplex - Thorne",43.70,"",""
"Rainbow Light One A Day",29.95,"",""
"MonaVie Active",45.00,"",""
"MonaVie Original",39.00,"",""
"MonaVie Gel Paks",3.21,"",""
"MonaVie Regular",39.95,"",""
"MyoSedate - DFH",22.00,"May promote quality sleep without causing drowsiness or sleep-hangover.",""
"Nordic Berries - Nordic Naturals",21.95,"",""
"Niacinamide - Thorne",16.50,"",""
"Niacin CRT - DFH",18.00,"Sustained release of Niacin, for support of lipid levels already within the normal range.",""
"Sleep - Nectar Essence",28.00,"",""
"Neo-Cardio - Thorne",26.25,"",""
"NeuroCalm - DFH",48.00,"",""
"Neurochondria - Thorne",79.90,"",""
"Niasafe-600? - Thorne",19.50,"",""
"Niacin Supreme - DFH",24.00,"",""
"Neurolink - DFH",44.00,"Balances brain chemistry for uplifting moods.",""
"Nut Milk Bag",12.50,"",""
"NanoCell-Q (CoQ10) - Metagenics",34.95,"",""
"NeuroCalm",48.00,"Promotes activity of GABA and serotonin, which may help support healthy mood, cravings, and feelings of calm, satiety, and satisfaction.",""
"Natto-Serrazime - DFH",44.00,"Supports joint, circulatory, respiratory and immune health.",""
"NutriSorb B12 - Interplexus",14.95,"",""
"NuSera - Metagenics",34.95,"",""
"Nuvoxil - NeuroScience",58.00,"",""
"Nasal Wash - Complementary Prescriptions",12.95,"",""
"Nuroxil -NS",58.00,"",""
"OmegAvail Lemon Drop Smoothie 8 oz.",29.00,"High potency fish oil with enhanced absorption. This formula is ideal for children and those who do not prefer to swallow softgels.",""
"OmegAvail Marine TG Liquid - DFH",22.00,"",""
"OmegAvail Ultra 240 - DFH",68.00,"Omega-3 fatty acids with lipase, a digestive aid to ensure maximum absorption. For cardiovascular health, artherosclerotic support and bone health.",""
"OmegAvail Ultra TG Capsules w/D3 - DFH",46.00,"For cardiovascular health, artherosclerotic support and bone health.",""
"OmegAvail Ultra TG 1000 - DFH",36.00,"",""
"OmegAvail Ultra TG Liquid - DFH",68.00,"",""
"Oxicell - AE",38.90,"Antioxidant which maybe helpful in reducing the pain of inflammation. ",""
"Ocu-Clear - Thorne DISCONTINUED - see OcuClear Eye Viatmins AREDS Plus Formula",55.00,"Complete eye-health formula to promote circulation to the eye to support vision",""
"OsteoForce - DFH",28.00,"Contains bone-supportive nutrients in their most absorbable forms. (calcium, magnesium, zinc, copper, manganese, potassium and boron)",""
"Omega Hi Po w/Lipase, 60ct. - DFH",29.00,"For cardiovascular health, artherosclerotic support and bone health.",""
"Old Indian Wild Cherry Bark Syrup - Planetary Herbals",15.98,"",""
"Olive Leaf Extract - DFH",22.00,"Antimicrobial properties and antioxidant power. It can also be used to support the health of the cardiovascular system. ",""
"Olive Leaf Extract - DFH",30.00,"Antimicrobial properties and antioxidant power. It can also be used to support the health of the cardiovascular system. ",""
"OmegaAvail Hi-Po  - DFH",28.00,"For cardiovascular health, artherosclerotic support and bone health.",""
"Fish Oil: DHA/EPA 1,000mg",20.00,"Your brand.",""
"Oil of Oregano - DFH",13.00,"Highly effective antimicrobial, antioxidant and intestinal cleansing agent. ",""
"Omega Plus - Thorne",33.20,"",""
"Omega Synergy - DFH",48.00,"",""
"Pyridoxal 5'-Phosphate (B6) - Thorne",14.40,"Bioactive form of Vitamin B6 - more readily used by the body.",""
"Power Adapt - Natura",51.00,"",""
"Powder Dairy Free - DFH",48.00,"",""
"PaleoMeal Vanilla - DFH",40.00,"Provides support with weight control, GI health, detoxification, immune issues, heavy metals, and muscle gain.",""
"Dairy Free Protein - DFH",48.00,"",""
"PaleoBars - DFH",2.75,"Nutrition bars designed to provide a healthy snack food for optimizing the intake of proteins, fats, carbohydrates, and micronutrients. ",""
"Protein Bar Box - PB Chocolate Coated - DFH",57.50,"",""
"Lo Carb Bar Box - Chocolate Mint - Bio-Genesis",58.20,"",""
"Protein Bar Box of 18 - Cocommune - DFH",57.50,"",""
"Lo Carb Bar Box - Chocolate Mint - Bio-Genesis",57.50,"",""
"Protein Bar Box of 18 - Chocolate Almond DF - DFH",57.50,"",""
"Protein Bar Box of 15 - Mocha - Bio-Genesis",58.20,"",""
"Protein Bar Box - Mixed Berry - DFH",57.50,"",""
"Protein Bar Box of 18 - PB Meal - DFH",40.00,"",""
"Periobiotic Toothpaste - DFH",14.00,"For maintaining healthy teeth and gums, provides beneficial flora in the mouth. ",""
"Protein Bar Box  of 30 - Ultra Lean Chocolate Mint - Bio-Genesis",92.00,"",""
"Protein Bars Box of 12 - Ultra Protein Peanut Butter - Bio-Genesis",67.50,"",""
"Protein Bars Box - Vanilla Almond - DFH",57.50,"",""
"PaleoCleanse - DFH",66.00,"Natural pea protein providing nutrients and antioxidants to support safe and natural detoxification. ",""
"Mineral Water - KTS",24.95,"",""
"Perfusia Plus - Thorne",58.20,"Supports vascular heath and blood flow.",""
"PaleoFiber Berry - DFH",46.00,"Contains 12 different types of fiber. Useful tool to help support proper weight management, glucose levels and lipid levels.",""
"SierraSil Topical Spray",24.95,"",""
"PaleoFiber Unflavored - DFH",36.00,"Contains 12 different types of fiber. Useful tool to help support proper weight management, glucose levels and lipid levels.",""
"PaleoGreens - DFH",54.00,"Organic greens containing enzymes and beneficial phytonutrients.",""
"PharmaGaba 100- Thorne",23.30,"GABA is a naturally occurring amino acid in the brain and serves as a critical calming agent for the body, helping to combat stress and anxiety.",""
"PharmaGABA Chewables - DFH",32.70,"GABA is a naturally occurring amino acid in the brain and serves as a critical calming agent for the body, helping to combat stress and anxiety.",""
"pH Paper - pHion",8.00,"",""
"Phosphatidyl Choline - Thorne",14.70,"",""
"PharmaGABA 250 - Thorne",42.95,"GABA is a naturally occurring amino acid in the brain and serves as a critical calming agent for the body, helping to combat stress and anxiety.",""
"Phosphatidyl Serine - DFH",58.00,"Supports overall brain wellness, healthy cortisol levels and is beneficial for memory and concentration.",""
"Phytoganix - Metagenics",44.95,"",""
"Phyto B - Bezwecken",56.00,"",""
"Phytisone -  Thorne",13.20,"",""
"PureLyte - Thorne",37.30,"",""
"PaleoMeal Vanilla 900 Grams - DFH",78.00,"Provides support with weight control, GI health, detoxification, immune issues, heavy metals, and muscle gain.",""
"Perma-Clear - Thorne",58.20,"Prebiotics for improved digestion - per test results SCFA.",""
"Potassium-Magnesium Citrate - Thorne",12.80,"Promotes optimum kidney health, helps balance electrolytes.",""
"PaleoMeal Dairy Free - DFH",48.00,"Provides support with weight control, GI health, detoxification, immune issues, heavy metals, and muscle gain.",""
"PaleoMeal Packets Vanilla",48.00,"Provides support with weight control, GI health, detoxification, immune issues, heavy metals, and muscle gain.",""
"PaleoMeal Vanilla - DFH",48.00,"Provides support with weight control, GI health, detoxification, immune issues, heavy metals, and muscle gain.",""
"Prescribed Nutrition - Olympian Labs",47.90,"",""
"Policosanol + Gugulipid (DFH)",32.00,"May help safely maintain healthy cholesterol and triglyceride levels.",""
"Polyresveratrol-SR Thorne",47.85,"",""
"Power Mixer Cup",15.00,"",""
"Pea Protein - Olympian Labs",32.95,"",""
"Progesterone/pregnenolone",47.90,"",""
"Pregnenolone CRT- DFH",19.00,"Supports healthy cognitive function and memory, healthy hormone balance.",""
"Pregnenolone - Source Naturals",11.98,"Supports healthy cognitive function and memory, healthy hormone balance.",""
"Prenatal Pro - DFH",38.00,"Helps ensure optimized nutrient levels before conception.",""
"Proglyco-SP - AE",30.50,"",""
"Probiotic Synergy 60 BIO-tract Probiospheres - DFH",36.00,"8 strains of probiotics for a healthier immune system, better absorption of nutrients and lower inflammation.",""
"Procite - Sanesco",57.20,"",""
"ProgonB - Bezwecken",46.00,"Progesterone support.",""
"Progesterone Support - Apex",23.50,"",""
"Prolent - Sanesco",54.50,"",""
"Probiotic Synergy, 60caps - DFH",38.00,"8 strains of probiotics for a healthier immune system, better absorption of nutrients and lower inflammation.",""
"To help lower blood sugar-AE",30.50,"",""
"Prostate Supreme - DFH",36.00,"Supports healthy balance of hormones involved in prostate health, and provides targeted nutritional and antioxidant support. ",""
"Perfusia-SR - Thorne",34.80,"Supports cardiovascular health, nitric oxide production, and optimal blood flow.",""
"Natural Fiber Supplement",8.95,"",""
"peatine - DFH",22.00,"",""
